Sentiment,Text
0,"@bahf i don't know, i woke up freaking out. hahha, are you still there? miss you. "
0,@bahhhhh aw damn  loll no...I'm too lazy to go and give my CV xD  *is that an English word?* I might do that when school's over :/
1,@bahramp Dude!  You've been quiet!  Miss you--can we hang out when I get back from Miami/DC??  
1,"@bahree Can't be any worse than those humongous HTC things you used to have. ;)  Besides, no-one ever calls me so it's a moot point. "
0,@baiganchoka it's kewl i just got back home too.. i didn't get you anything pretty either couldnt walk too much 
0,@Bail88ge   My boat was the Titanic and it sunk. 
1,@bailann  Call me next time   I'm a sucker for period pieces with grand vistas. I had so-so expectations and really loved it.
1,@bailar_vivir Goodnight.  
1,@bailar_vivir yes! 
0,@baileemarshall  Hahah i can bat both handed but thats about it  and idk i've always wondered why some people are left handed and othe ...
1,@baileemarshall awe! Is today the last bible study?  ha
1,@baileemarshall Duh  hahah and its not hard to find out sitting next to him... Ha but does your have horrid writing?
1,@baileemarshall ha  he was like hi nikole!
0,@baileemarshall no  do you think i should? Ha
1,@baileemfan aww thank you  you are such a loyal fan! so I will follow you!
1,@BAILEEY1 I'm just proud to be yours 
1,@baileighann just call me whenever you're free 
0,@Bailey_FF It's harsh times  Applied for like 12 jobs.....and not heard back from one of them...gayysss :/
1,@Bailey30906 Hey im Emerald!!! Do u know me because ur following me  thats a good thing lol
1,@baileybirdie called me again today!  she got to drink scottish whisky 
1,@Baileychelsea when im bak in the ATL i have to party with u...its a must 
0,"@Baileylou if you don't mine me asking, what's been going on lately? are you okay? "
1,@BbeS tell me bout it. and guess who didn't put the top up on their jeep?! 
1,@bbestvin What a nice way to say &quot;We lost&quot;. 
1,"@BBFenix don't U just wish everyone else was too grown for it too, girl? LOL I swear, I'm rt there w/ya.  Hang in there. Get some sleep!"
1,"@bbflynn http://twitpic.com/6tjgl - Wow, I'm not going to lie, that's a bit intimidating "
0,"@bbgeekchic  I have not been a happy camper today.... BlackBerry has been, well, disabled whilst I get it back in order "
0,@bbgeekchic Aww I'm sorry hun  Mr. Right will come along when the time is right. I've had my fair share of dumb asses myself. Been there
1,@bbgeekchic I'm stuck on XM 80's tonight.  
0,@bbgeekchic not working on the 8900 only on Bold 
1,@bbgeekchic Shhh don't tell her 
1,"@bbggoodd I like Disney stuff,jo bros,hsm etc. and like everything else. Especially Eminem  I &lt;3 him"
0,@bbggoodd yeahh   SHOOT ME NOW!
0,@bbgoodMAYA Would u follow me? 
0,@bbhgeneral08 aww. i miss you too.  i was lookin at all them pics the other day of everyone.. 
0,@bbiiaannccaa I MISS YOU TOOOOO.  How's your first day? OMG commute ka na?! Am so proud of you!
1,@bbillybilltweet 30 years 
0,@BbInDaLoop sho off its like 48 degrees here 
0,@BBismyBB Ahhh I'm jealous! He's the only member of the band that I didn't meet  He never came out of the hotel lmao
0,"@BBismyBB aww, i'm sorry about your friend's sister. this girl i knew in 1st grade got leukemia&amp;she passed away when she was 9 "
1,@BBismyBB aww...you're such a softy...I can only imagine you a mess of tears at your own wedding...you won't even be able to talk 
1,@BBismyBB do you play?! Or just watching? 
1,"@BBitt LOL! Silly begger. Actualy its lovely here at the moment again. We get pretty good summers IMO, just right "
1,@BBIZZYYY hahah hellss yeaah 
0,"@BBIZZYYY sounds like we both need some snuggles  sorry hun, but ur young &amp; beautiful &amp; Im sure theres something amazing awaiting you!"
0,@bbjelovuk throwing trash at bikers is not.....my bad 
0,"@bbkev_ftw i know,hayyyyyyyyy "
0,@BBL0ve  I don't think I was bad as her. ).
0,@BBL0ve i know 
0,@BBL0ve lmaoo  don't call she she the devil. She gonna :| me for calling her that. I'm not talking to her though )))))).
1,@BBlane good morning to you 
1,"@BBlane lol, yes I tripped over the sunset and unfortunately broke my arm "
1,"@BBlane What's this thing call &quot;work&quot;? ;) Hi, there! Just back from my Men Vs Wild adventure  http://tinyurl.com/omve5o"
1,@BBlane yeah i work 7 days 
1,@BBLucia hahaha good plan  are we still planning on going to d-land?
1,@bbluesman Hi Mark!  Freihofer's had good chocolate chip cookies at one time? Sounds delish! 
1,@BBluesman whatever you want it to be. 
0,@BBNewsFeed kinda crummy it doesn't work on 8350i 
1,@bbnugent ...really explain it. Do u know what Brighthous Networks is? Well its kinda like that 
1,"@bbnugent haha I know, that would be so funny if she saw it! "
1,"@bbolislife greaaat. you have requirements na? BTW, yer brother is soooo CUTE. ) was the other guy yer dad? "
1,@baileymichelle It's a WB movie! I've seen the score! 
1,@baileyraetsen aww well good on you  x
1,@baileyschneider holding thumbs... I have a good feeling though  keep us posted!
0,@baileyyboox  I AM! So you can see how much we is gonna miss you grrll  im gettign all teary eyed
0,@BaileyyScott I miss you fool 
1,@bailsarahout OH! XD And you bet! Will be signing on now. 
1,@bailsbails lovely to see you too m'dear! We'd love to come over (but we are never drinking again). Let's set a date 
1,"@bailsebeth have fun at dave  i still have more than two weeks. but hey, he comes to my city two nights in a row. ohhh, the possibilties."
1,@Bailyrocks Yay you! Have fun ! 
1,@bain2 I'll help if you pay for my reactivation 
1,"@BainMercerGirl thanks! juz added you to facebook. your site has potential, keep rocking my friend "
1,"@bainser guess what! The students show went very well, they won best stand at GFW. So have you started portfolio or been enjoying sun "
1,@bainsy1 OH ELLO THERE  i didn't know you'd joined twitter until you told me today...bit late of me. well i am now following you 
1,@bairdduvessa  no not yet. He's sleeping now. I think he could use some water and food.
0,@bairdduvessa yea its a bit much 
1,@bairfanx nice of you to say but audience makes us happy 
1,@baise OKAY YAY!!! SOOONER THAN LATER. email me. I'll tell you what I have instore 
1,"@bajaklautcacat abs, thanks so much yey, jangan bosen bosen nolongin gue yaaa, hihii  get better abs"
1,@bajakubic thanks for following  please check out my twitpics 
0,@bajb i dunno just feel really crap 
1,@bakabeko http://twitpic.com/4yi3r - your hair was so amazing  awesome pic
1,@BakaDaruku yeah... I was simply appealing to your ego 
0,@Bakari45 I can imagine  This country is strange sometimes. It can be so progressive yet so backwards.
1,@bakeanddestroy Beautiful! Where is it at? 
1,@bakeanddestroy cute new photo! 
1,@bakebot Happy Birthday Zane!  Much love from north of the 49th parallel. Enjoy some medicinal science in my absence budday!! 
0,"@BakeMeUpLA no, there must be a logical explanation.... like a curse. hehe ... sugar is awful for me anyway. "
1,"@baker_girl Hmmm, sounds like a real dilemma in the baker household "
0,@baker_vindee back to work again! 
1,"@bakerash yes.  I'll be down there in a bit. Can i borrow after lunch, before the session?"
0,"@bakeraustin But its not the official Spinal Tap Back From the Dead album complete with dvd, action figures, and the pop-up stage  lol"
0,@baketastic 
0,@BakingBallerina sellout.com : It's sold out 
0,@bakingblog wish we would have gone.  Was rushing to get home! 9+ hr drive from Carlsbad...so ready to be back in my home. must go soon!
0,@bakingcupcakes omgshness im so cold right now. going to leave for netball 
0,@bakingwithplath holy fuck say it aint so! If I had a cat that pissed my prize possession tempurpedic I'd put it down. NO clue what 2 do 
0,@bakinka ohh shyyaat. that sucks  well i guess we can still see each other.
0,@balaaG  still a bit crappy  think its a bug
1,@balaarjunan @vasanthgvk @vkhater @anand_iyer @KevalPrabhu : Would love to reserve boost/setter position 
0,@balag4u Things are back to normal  Few wonders happened though - For ex: www.bash.org !!
1,@balaji_dutt me concurs with you 
1,@balaji_dutt nah i'm good  found this - http://tinyurl.com/c9q89n
1,@balaji_dutt you are getting senile man. oxford as in oxford dictionary 
0,@balajijegan convey my wishes to Suresh though he did not invite me 
1,"@Balance510  fresca frisco is on the ocean so everywhere i guess ,but  probably you CAN'T  GO   LOL"
0,@Balance510 awwww u mad!!  I was just sayin man the power save was a pain every 5 mins I had to turn it back on. =p haha!!
1,@Balance510 LMAO no I was thinkin..I hope this be head ego rapper don't say nada LMAO !!! (Seriously)  I'm hi timing in Hawaii. How u doin
1,@Balance510 yup and sometimes it takes a looooong ass time.. But wouldn't have it any other way.. 
1,@BalboaPark thanks!!! 
0,@Bald_Sean sorry i can't offer you a better place to go ... i'm sure dayton is on par with c-springs. 
0,@baldeggie I just changed the backgroung but now I have no profile ppicture 
1,@baldeggie wow your food sounds better than what i had 
1,@BaldiesUnite me too mmm  suns shining here nice day 
0,"@baldovinob it did happen, my hair has reached its limit  where are you Baldo? pictures or not I will remain ur long lost twin, lol"
1,@BaldStephen I MISS YOU!!!!!! When are you coming to visit us???  It's been toooooo long!
1,@baldy_za thanks man. I can't wait 
0,@Baldy67 Not so good last night tho.  
1,"@BaleBabe66 I'll go watch it with you, I know no one else who would truly appreciate the awesomeness of them together. "
0,@BaleBabe66 Red Robin closed where I live 
1,@Baleyrocks23 we have our board ? YEEEAAAAAHHH ! I'm so so glad ! I'll be posting on tuesday i think 
1,@Baleyrocks23 You do! I changed my name/picture. I was RebekahGlass. (Becca) 
0,@balgees yep i'm having that. But not as good as the previous Nescafe GOLD premium  nowhere near that.
1,@balibaby sunshine after a cloudy morning. very nice. u want to come down here to get some sun? 
0,@baliswa haike sana ndihluthi 
1,"@balkanbeat rough start to the morning here, but shaking it off and ready for 3 days off "
0,"@balkanbeat yeah, fine, but they may keep him in a couple of days "
1,@balkrishnanv could be. 
0,@ballancing mine too.. depressing... 
0,@ballarBRITT Awww I miss you too Brittany  where's the vibe located?
0,@Ballebi- Is it too late to say I'm sorry? 
0,@ballenegger OK I'LL STOP RETWEETING SO MUCH FORGIVE ME 
0,@Baller1117 no 1 did sadly on such beautiful weather and it was wasted smh 
0,"@balleralert R.I.P. to the victims of the Metro Train Crash  http://bit.ly/YJ2FFabout       &lt;&lt;right in dc now, rip &gt;&gt;"
0,@ballerinajay and then changed her mind?? Lame 
1,"@ballerrina i tried calling you during his set, but signal was all weird.  twittered instead!  "
1,"@balleyne @mathewi though, it's amusing that his &quot;support&quot; model is sorta similar to what bands are doing. and it doesn't rely on (c).  "
0,@ballin1278 aw man! I'm at work still.  how long are you in town?
1,@ballinforsure lmaooo good glad to know 
1,"@balliztik510 I got you, you better be following me 2 though (^-^). I love my producers!  Get to Florida and let's do work!"
1,@balliztik510 yeah it comes thru a live stream; then after its off air everythiqn is recorded and saved 4 later listeninq 
1,@ballofury I don't think I could be anymore encouraging   
1,@ballookey I love Helen Mirren! Really &quot;The Secret&quot; is don't eat or behave like a douche. 
1,"@balloonart  1) Down the toilet 2) In the freezer 3) Growing in the garden   (sorry, last message confusing without the @ballonart!"
0,"@BalloonParadise not yet, I noticed that it was missing this morning on my way to work.   Going to scour the house when I get home."
1,@balloonpup You must be following some pretty quiet folks. 
1,@BALLS_4_NKOTB Both good movies...I thought so anyway 
0,@ballski How are we supposed to meet up tomorrow if I'm still effed up? 
0,@BallyAmes  at 10k
1,@Ballyg was so much fun 
0,"@ballywoo Aww, baby, what happened? "
1,"@balmeras I know! I have the red leather portfolio and love it! Had the circa notebooks, too, but too pricey for scribbling notes. "
0,"@baloteesha with youtube and downloading sites, somehow i understand their bandwidth reason, but with social networking sites... sad "
1,@balsamiq I'd say clipperz.com (who's got also an OS version you can put on your server) and passpack.com (btw both are #madeinitaly  )
0,@balsamiqMarco thanks ... I'll throw in my 2 cents ... it's a MAJOR issue when sharing mocks-ups in a group of people!  
1,"@BaltarStar Räkättirastas, no I didn't wash the bird  I guess that could make it bump into a window though... :p"
1,@BaltarStar Wow! No cliche left unturned (and fluffy hair!). 
1,@BaltimoreGal I just got one of those counter top dishwashers too - I like to praise it so it knows how much sanity it's granted me 
1,@Bamabears   Thanks for the birthday wishes SEXY!!!     How are you doing today???
0,"@BamaBlockhead I saw the shower comment and by the time I saw it u were gone. Poor u.  Gma is a pistol, huh?"
1,@BamaBlockhead No.. $16 is a good price considering WHO you are going to see!    Right?
1,@BamaBlockhead You will know me and Kristi in Raleigh... right??  
1,@Bamaboi101 Good morning 
1,@Bamaboi101 i thnk yur a prety cool person..u funny too 
0,@BamaIsMe Awwww thats not gud  She gots to make some more time for U..
1,@bamaisme HI  WHATCHA DOING??
0,@BamaIsMe I Dont know   ...Am weak and dont have an appetite to eat. Hate feeling like this tho.
0,@BamaLiz But that's going to Six Flags! I'm going to the doctor 
1,@bamaloo http://tinyurl.com/c33ffv thats what im making for dinner very yummy 
0,@bamama Yeah i didn't get it til almost 10  thanks for doing that. I'll pay ya back. Way for you winning a prize.
1,"@bamanda Well, you shoulda. You could have seen Sonny (the #roomba) in action. "
1,@bbolislife wear* the usual. you know my bag.  LMAO.
1,"@Bbon22 not too shabby. I've been trying new things ie: parasailing, snorkeling, very strong greek liquor and i ate snails.. etc "
1,@bboop22 yeah i thought he'd really be a problem but he ended up helping us out in the end  big j did with some dumb b*tch who
1,@bboy2143 Electronic Entertainment Expo #e3 basically a convention to show off new games 
1,@bboyunique Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
0,"@BBQuiz this isnt fair, i have to keep refreshin to c the questions and that means that i cant answer them quick enough "
0,@bbraden08 aww me sry  that was me yesterday ....
1,@bbrathwaite @randomnickname If either of you had any idea of what I have further planned for my hobby...   Games aren't my endgame. hee!
0,"@bbrathwaite hahaha! good thinking! I got the exercise but portion sizes get me in trouble. I workout, get hungrier, eat more. "
1,@bbrathwaite I just saw Irish game in Challenges for Game Designers. Amazed at how it transformed 
0,"@bbrathwaite No, most of season 5 is offline.   I only found the last five episodes. I had to stop watching Lost completely. I'm jonesin'."
0,@bbrathwaite Sorry to hear about your car getting totaled. 
1,@bbrathwaite That's my primary source for bizarre liquor. 
1,"@bbree Good, experimental cooks?  What shall we bring? ;)"
1,"@bbricke I used to own a comic book store  So, yeah, I pick up my funny book dutifully every Wednesday. Yea, comic book day! ;)"
1,@bbricke My real job is a code monkey  Just another language. I'm lucky enough to know a few.
0,"@bbrittneyy  yah I'm on random on itunes, but it never scrobbles Manson, sooooo lame"
1,@bbrocato thanks!!  I like using juicy colors 
1,@bbrooke hahaha. i think i'll pass. 
1,"@BBrotherUpdates Well Lexie, you know us. You'll hear from us whether we like the changes or not, so have at it!  "
1,@BBRRIITTTTYY aw that's so sweet! i think you're a great daughter. (: hmm pretty good!  sun is in the sky yeaah! x
0,"@BBRRIITTTTYY hehe good job! Yeh (: wohoo i wish i could come, and congrat you but i can't  xx"
0,"@BBRRIITTTTYY hopefully..its a week today since we got my sisters dog, and they show symptoms from 7-10 days "
0,@BBRRIITTTTYY i can't do it. 'cause you'll leave me on my own!  Xx
1,@BBRRIITTTTYY no they aren't Ö. argh they were really good but they broke up don't know why! want them back together again   x
0,"@BBRRIITTTTYY thanks, we'll need it "
0,"@BBRRIITTTTYY thankyou, it means alot. she was a boston terrier x chiuahah.. "
0,@bbsipodtouchelp dude wal mart is going to suck now 
1,"@bbSTEPHANIE i Totally agree, my family has always been laker fans. Im a fan because i like them, not becase of a band "
0,@BBsWORLD I'm jealous  I can't wait to get home..
0,@BBT_ENT AWWWW don't say that! 
1,@bbum Another situation of me being not as productive as you. Corbin bugs me the same way. Damn productive people. 
1,"@bbum Fair enough, I'll give it a shot next time around "
0,@bbum That sounds incredibly painful. 
0,@bamarama2 that's quite lame if I may say so and that I am sorry to hear that 
0,@BamaRandyGirl aww! Love it! Wish I came earlier so I couldve been there with u guys!  hopefully one of these days..
0,@Bamasaur I know! I hate them. U.S.A. didn't win any 
0,@BamaTweetBird N/M... i just saw.. sorry. I'm a little slow sometimes  
0,@bambamboogie hate to disappoint but HC wasnt there today 
1,@bambamboogie that's my bestie  LOL
0,@bamber123 kept playing with iPhone hehe. Bloody auto rotate in bed 
0,"@BamberNews lurker emailed me Jamie Bamber photos I've not seen before. But, I feel I must check with photogs before posting. "
1,@bambi429 Hah...no problem. I enjoy our chats too much to let you off the hook for that long. 
1,@BambiBlue only a few beers at a friends BBQ  onw ruined night per weekend is enough for me!
1,"@Bambiii3 I totally agree with u, it ended a way too fast! Btw, pretty picture! See you tomorrow. Love you! "
0,"@bamBILLIONS yeah, u can say dat. lil phobia of roaches "
0,"@BambiLovedoll bad times..  bloody public transport  i thought it was ok whenever i was in germany, maybe i missed the bad times!"
1,@BambiLovedoll what a lovely way to spend your afternoon.  
1,@bamboo101 do you read them? the emails they send you? me kasi i don't 
1,@bambooisyummi haha must've been an awsomee party  go on msn xDv
1,@Bamboomerangs I love it! 
1,@bamboopandalove he's probably sitting in his hotel room watching national geographic while doing push ups and eating vegetables  ahhaha
0,"@BamboozledMoxy Oh, no! Do I take that long to process them?  I'm so sorry, I stink as a friend.  But I love you bunches!!"
1,@BAMboozledTiff glad to hear hunn  &amp; did u work out the pro wid ur frien irl? &lt;3
0,"@Bambosh cologne n munich? fuck! too far from my town. ghrrrr ;/. i wish you good times with boys from Metro Station, coz i'm not goin' "
1,@Bambosh yeah.  hah. i wrote you everything on fbl. 
1,"@Bambosh yes, but he is my looser "
1,@BambuDePistola Don't worry. They are fresh outta bootcamp and I got me a war vet - there's no comparison 
1,@bambudepistola peace fam! U headin back our way (ny)? Let me &amp; @go_d know when ure around so he can show u some Brooklyn hospitality. 
1,@BambuDePistola yay! way 2 go. u earned it 
0,@bambycaulfield am reading one of the BBB i think i just cried xD i dont have his pics 
0,"@bambycaulfield i'm on my phone so i can't send em rn, but i'll pm you. oh that sucks  and it means hardcore."
1,@BamDaStrag ..lmao i got fries 2 and more cheesecake 
0,@bAMF70 i missed it... what did I miss? 
1,"@Bamfaroni I'm a yearbook whore, wtf does that mean? Is this some sort of evolving stage or upgrade?! "
1,@BAMFnamedJuliah  Will changing society eventually bring money? It's sure to bring happiness 
1,@bamgalace Haven't seen that one. ::shock::  Did see Doomsday and Bio Zombie this month.
1,@BAmichelle   dun really need an exact tivo. if you have cable ur cable company should have a DVR box  lifes much easier with a dvr box &lt;3
0,"@bamkisser so you can get to ya prince charming  that's how I look at, if a nigga can't love you for u then fuck him"
0,"@bbunderground I'm using UberTwitter, and really like it. Got prompted to update to new &quot;ad supported&quot; version today. "
1,@bburridge You are very welcome. Let us know if we can help with anything else!  
1,@bbusschots I summoned the spirit of Steve Jobs to oversee your installation.  
0,@bbybellaa  thats no good. what happened?
1,@bbyboi_101008 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
0,@bbybttie  miss you toooooooooo 
1,@bbyowls  here !! i would make it work  
1,@bbyowls  okay  but u have to move here ! &lt;3333
